open,high,low,close,volume,expected_minutes,observed_minutes,missing_minutes,is_complete,timestamp,session_date,market_open_et,market_close_et,timeframe
257.38,257.52,256.19,257.2,86142239.0,240,240,0,True,2017-11-02 09:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,4h
257.2,257.74,257.05,257.61,43644547.0,150,149,1,False,2017-11-02 13:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,4h
257.77,258.29,257.3,258.24,73174466.0,240,240,0,True,2017-11-03 09:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,4h
258.24,258.49,258.22,258.44,44739971.0,150,150,0,True,2017-11-03 13:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,4h
258.29,258.86,258.22,258.74,58774861.0,240,240,0,True,2017-11-06 09:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,4h
258.74,258.99,258.74,258.82,32014554.0,150,150,0,True,2017-11-06 13:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,4h
258.98,259.35,258.09,258.59,80425287.0,240,240,0,True,2017-11-07 09:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,4h
258.59,258.69,258.22,258.68,40839902.0,150,150,0,True,2017-11-07 13:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,4h
258.43,259.07,258.15,259.02,70051458.0,240,240,0,True,2017-11-08 09:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,4h
259.02,259.21,258.88,259.11,35536808.0,150,150,0,True,2017-11-08 13:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,4h
257.71,258.38,256.36,257.41,136829491.0,240,240,0,True,2017-11-09 09:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,4h
257.41,258.37,257.35,258.18,56774337.0,150,150,0,True,2017-11-09 13:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,4h
257.72,257.97,257.36,257.87,88923238.0,240,240,0,True,2017-11-10 09:30:00-05:00,2017-11-10,2017-11-10 09:30:00-05:00,2017-11-10 16:00:00-05:00,4h
