open,high,low,close,volume,expected_minutes,observed_minutes,missing_minutes,is_complete,timestamp,session_date,market_open_et,market_close_et,timeframe
257.38,257.74,256.19,257.61,129786786.0,390,389,1,False,2017-11-02 09:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,1d
257.77,258.49,257.3,258.44,117914437.0,390,390,0,True,2017-11-03 09:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,1d
258.29,258.99,258.22,258.82,90789415.0,390,390,0,True,2017-11-06 09:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,1d
258.98,259.35,258.09,258.68,121265189.0,390,390,0,True,2017-11-07 09:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,1d
258.43,259.21,258.15,259.11,105588266.0,390,390,0,True,2017-11-08 09:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,1d
257.71,258.38,256.36,258.18,193603828.0,390,390,0,True,2017-11-09 09:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,1d
257.72,258.2,257.36,258.07,127573862.0,390,390,0,True,2017-11-10 09:30:00-05:00,2017-11-10,2017-11-10 09:30:00-05:00,2017-11-10 16:00:00-05:00,1d
257.29,258.58,257.26,258.34,105950983.0,390,390,0,True,2017-11-13 09:30:00-05:00,2017-11-13,2017-11-13 09:30:00-05:00,2017-11-13 16:00:00-05:00,1d
257.39,257.85,256.52,257.74,142799821.0,390,390,0,True,2017-11-14 09:30:00-05:00,2017-11-14,2017-11-14 09:30:00-05:00,2017-11-14 16:00:00-05:00,1d
256.66,257.21,255.64,256.42,158486576.0,390,390,0,True,2017-11-15 09:30:00-05:00,2017-11-15,2017-11-15 09:30:00-05:00,2017-11-15 16:00:00-05:00,1d
257.48,259.03,257.47,258.59,119775075.0,390,390,0,True,2017-11-16 09:30:00-05:00,2017-11-16,2017-11-16 09:30:00-05:00,2017-11-16 16:00:00-05:00,1d
258.21,258.43,257.77,257.88,118150838.0,390,390,0,True,2017-11-17 09:30:00-05:00,2017-11-17,2017-11-17 09:30:00-05:00,2017-11-17 16:00:00-05:00,1d
258.12,258.51,257.85,258.28,106293031.0,390,390,0,True,2017-11-20 09:30:00-05:00,2017-11-20,2017-11-20 09:30:00-05:00,2017-11-20 16:00:00-05:00,1d
259.16,260.19,259.08,259.95,113567749.0,390,390,0,True,2017-11-21 09:30:00-05:00,2017-11-21,2017-11-21 09:30:00-05:00,2017-11-21 16:00:00-05:00,1d
259.97,260.14,259.57,259.74,97291883.0,390,390,0,True,2017-11-22 09:30:00-05:00,2017-11-22,2017-11-22 09:30:00-05:00,2017-11-22 16:00:00-05:00,1d
260.27,260.47,260.16,260.35,51469237.0,210,210,0,True,2017-11-24 09:30:00-05:00,2017-11-24,2017-11-24 09:30:00-05:00,2017-11-24 13:00:00-05:00,1d
260.36,260.74,260.0,260.26,107182216.0,390,390,0,True,2017-11-27 09:30:00-05:00,2017-11-27,2017-11-27 09:30:00-05:00,2017-11-27 16:00:00-05:00,1d
260.76,262.89,260.66,262.84,138916241.0,390,390,0,True,2017-11-28 09:30:00-05:00,2017-11-28,2017-11-28 09:30:00-05:00,2017-11-28 16:00:00-05:00,1d
263.02,263.62,262.36,262.73,396477995.0,390,337,53,False,2017-11-29 09:30:00-05:00,2017-11-29,2017-11-29 09:30:00-05:00,2017-11-29 16:00:00-05:00,1d
263.74,266.03,263.66,264.93,188553126.0,390,390,0,True,2017-11-30 09:30:00-05:00,2017-11-30,2017-11-30 09:30:00-05:00,2017-11-30 16:00:00-05:00,1d
264.75,265.3,260.79,264.43,262280379.0,390,390,0,True,2017-12-01 09:30:00-05:00,2017-12-01,2017-12-01 09:30:00-05:00,2017-12-01 16:00:00-05:00,1d
266.31,266.79,264.15,264.17,209136765.0,390,390,0,True,2017-12-04 09:30:00-05:00,2017-12-04,2017-12-04 09:30:00-05:00,2017-12-04 16:00:00-05:00,1d
264.43,265.14,263.04,263.2,183790926.0,390,390,0,True,2017-12-05 09:30:00-05:00,2017-12-05,2017-12-05 09:30:00-05:00,2017-12-05 16:00:00-05:00,1d
262.85,263.72,262.72,263.21,167580901.0,390,390,0,True,2017-12-06 09:30:00-05:00,2017-12-06,2017-12-06 09:30:00-05:00,2017-12-06 16:00:00-05:00,1d
263.09,264.42,262.95,264.04,152450475.0,390,390,0,True,2017-12-07 09:30:00-05:00,2017-12-07,2017-12-07 09:30:00-05:00,2017-12-07 16:00:00-05:00,1d
264.99,265.52,264.72,265.49,111677655.0,390,390,0,True,2017-12-08 09:30:00-05:00,2017-12-08,2017-12-08 09:30:00-05:00,2017-12-08 16:00:00-05:00,1d
265.56,266.37,265.49,266.33,114326799.0,390,390,0,True,2017-12-11 09:30:00-05:00,2017-12-11,2017-12-11 09:30:00-05:00,2017-12-11 16:00:00-05:00,1d
266.57,267.31,266.34,266.8,125747635.0,390,390,0,True,2017-12-12 09:30:00-05:00,2017-12-12,2017-12-12 09:30:00-05:00,2017-12-12 16:00:00-05:00,1d
267.05,267.55,266.66,266.69,151349445.0,390,390,0,True,2017-12-13 09:30:00-05:00,2017-12-13,2017-12-13 09:30:00-05:00,2017-12-13 16:00:00-05:00,1d
267.09,267.21,265.6,265.66,154121898.0,390,390,0,True,2017-12-14 09:30:00-05:00,2017-12-14,2017-12-14 09:30:00-05:00,2017-12-14 16:00:00-05:00,1d
265.45,267.03,265.39,266.54,128444144.0,390,390,0,True,2017-12-15 09:30:00-05:00,2017-12-15,2017-12-15 09:30:00-05:00,2017-12-15 16:00:00-05:00,1d
268.07,268.59,267.97,268.17,112711609.0,390,390,0,True,2017-12-18 09:30:00-05:00,2017-12-18,2017-12-18 09:30:00-05:00,2017-12-18 16:00:00-05:00,1d
268.46,268.51,267.09,267.18,143461525.0,390,390,0,True,2017-12-19 09:30:00-05:00,2017-12-19,2017-12-19 09:30:00-05:00,2017-12-19 16:00:00-05:00,1d
268.25,268.33,266.69,267.03,139912602.0,390,390,0,True,2017-12-20 09:30:00-05:00,2017-12-20,2017-12-20 09:30:00-05:00,2017-12-20 16:00:00-05:00,1d
267.73,268.38,267.3,267.6,107473141.0,390,390,0,True,2017-12-21 09:30:00-05:00,2017-12-21,2017-12-21 09:30:00-05:00,2017-12-21 16:00:00-05:00,1d
267.59,267.63,266.9,267.49,100128779.0,390,390,0,True,2017-12-22 09:30:00-05:00,2017-12-22,2017-12-22 09:30:00-05:00,2017-12-22 16:00:00-05:00,1d
267.04,267.37,266.88,267.16,87427539.0,390,390,0,True,2017-12-26 09:30:00-05:00,2017-12-26,2017-12-26 09:30:00-05:00,2017-12-26 16:00:00-05:00,1d
267.36,267.72,267.01,267.32,91082956.0,390,390,0,True,2017-12-27 09:30:00-05:00,2017-12-27,2017-12-27 09:30:00-05:00,2017-12-27 16:00:00-05:00,1d
267.85,267.91,267.45,267.85,95130931.0,390,390,0,True,2017-12-28 09:30:00-05:00,2017-12-28,2017-12-28 09:30:00-05:00,2017-12-28 16:00:00-05:00,1d
268.53,268.53,266.63,266.81,112895328.0,390,390,0,True,2017-12-29 09:30:00-05:00,2017-12-29,2017-12-29 09:30:00-05:00,2017-12-29 16:00:00-05:00,1d
267.84,268.8,267.4,268.76,116400065.0,390,390,0,True,2018-01-02 09:30:00-05:00,2018-01-02,2018-01-02 09:30:00-05:00,2018-01-02 16:00:00-05:00,1d
268.96,270.63,268.94,270.34,120797899.0,390,390,0,True,2018-01-03 09:30:00-05:00,2018-01-03,2018-01-03 09:30:00-05:00,2018-01-03 16:00:00-05:00,1d
271.2,272.15,271.1,271.62,126259969.0,390,389,1,False,2018-01-04 09:30:00-05:00,2018-01-04,2018-01-04 09:30:00-05:00,2018-01-04 16:00:00-05:00,1d
272.5,273.55,271.94,273.51,104798311.0,390,388,2,False,2018-01-05 09:30:00-05:00,2018-01-05,2018-01-05 09:30:00-05:00,2018-01-05 16:00:00-05:00,1d
273.3,274.09,272.98,273.95,107886834.0,390,390,0,True,2018-01-08 09:30:00-05:00,2018-01-08,2018-01-08 09:30:00-05:00,2018-01-08 16:00:00-05:00,1d
274.38,275.23,274.09,274.43,125991866.0,390,390,0,True,2018-01-09 09:30:00-05:00,2018-01-09,2018-01-09 09:30:00-05:00,2018-01-09 16:00:00-05:00,1d
273.67,274.42,272.92,274.06,131431854.0,390,390,0,True,2018-01-10 09:30:00-05:00,2018-01-10,2018-01-10 09:30:00-05:00,2018-01-10 16:00:00-05:00,1d
274.72,276.08,274.56,276.04,106787863.0,390,390,0,True,2018-01-11 09:30:00-05:00,2018-01-11,2018-01-11 09:30:00-05:00,2018-01-11 16:00:00-05:00,1d
276.39,278.09,276.28,277.9,126478880.0,390,390,0,True,2018-01-12 09:30:00-05:00,2018-01-12,2018-01-12 09:30:00-05:00,2018-01-12 16:00:00-05:00,1d
279.33,280.08,276.18,277.03,200832210.0,390,390,0,True,2018-01-16 09:30:00-05:00,2018-01-16,2018-01-16 09:30:00-05:00,2018-01-16 16:00:00-05:00,1d
278.01,280.04,277.19,279.55,160650693.0,390,390,0,True,2018-01-17 09:30:00-05:00,2018-01-17,2018-01-17 09:30:00-05:00,2018-01-17 16:00:00-05:00,1d
279.48,279.95,278.57,279.16,165015980.0,390,390,0,True,2018-01-18 09:30:00-05:00,2018-01-18,2018-01-18 09:30:00-05:00,2018-01-18 16:00:00-05:00,1d
279.77,280.39,279.14,280.37,150127703.0,390,390,0,True,2018-01-19 09:30:00-05:00,2018-01-19,2018-01-19 09:30:00-05:00,2018-01-19 16:00:00-05:00,1d
280.14,282.63,280.11,282.62,134023475.0,390,390,0,True,2018-01-22 09:30:00-05:00,2018-01-22,2018-01-22 09:30:00-05:00,2018-01-22 16:00:00-05:00,1d
282.74,283.61,282.38,283.34,150182000.0,390,390,0,True,2018-01-23 09:30:00-05:00,2018-01-23,2018-01-23 09:30:00-05:00,2018-01-23 16:00:00-05:00,1d
283.99,284.68,281.84,283.16,230129150.0,390,390,0,True,2018-01-24 09:30:00-05:00,2018-01-24,2018-01-24 09:30:00-05:00,2018-01-24 16:00:00-05:00,1d
284.15,284.26,282.42,283.28,199447927.0,390,390,0,True,2018-01-25 09:30:00-05:00,2018-01-25,2018-01-25 09:30:00-05:00,2018-01-25 16:00:00-05:00,1d
284.27,286.57,283.97,286.56,149474069.0,390,390,0,True,2018-01-26 09:30:00-05:00,2018-01-26,2018-01-26 09:30:00-05:00,2018-01-26 16:00:00-05:00,1d
285.91,286.41,284.49,284.65,353221281.0,390,390,0,True,2018-01-29 09:30:00-05:00,2018-01-29,2018-01-29 09:30:00-05:00,2018-01-29 16:00:00-05:00,1d
282.58,283.28,281.21,281.64,242771482.0,390,390,0,True,2018-01-30 09:30:00-05:00,2018-01-30,2018-01-30 09:30:00-05:00,2018-01-30 16:00:00-05:00,1d
