timestamp,strategy,param_orb_bars,param_profit_ratio,param_close_before_min,total_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,win_rate_pct,total_trades,profit_factor,avg_trade_pct
2026-03-31T19:08:00.018089+00:00,ORB,3,2.0,15,-2.368,-4.4049,-6.2531,0.7913,-2.9926,29.6875,192,0.6921,-0.0123
2026-03-31T19:08:00.025619+00:00,VWAP_Reversion,1.5,0.5,20,14,35,65,15,-7.7348,-24.1253,-29.8933,0.9881,-7.8281,15.9574,282,0.1696,-0.0274
2026-03-31T20:08:24.169941+00:00,ORB,3,2.0,15,-2.5087,-4.6659,-6.6193,0.8383,-2.9926,29.2929,198,0.6792,-0.0127
2026-03-31T20:08:24.177698+00:00,VWAP_Reversion,1.5,0.5,20,14,35,65,15,-7.7661,-24.2106,-29.9944,0.9921,-7.8281,15.8451,284,0.169,-0.0273
