window_months,start_date,end_date,trades,win_rate_pct,profit_factor,net_profit_pct,sharpe,max_drawdown_pct
6,2017-05-01,2017-10-31,31,41.94,1.088,0.079,0.221,-0.325
6,2017-05-31,2017-11-30,28,46.43,0.934,-0.055,-0.164,-0.325
6,2017-07-01,2017-12-31,27,51.85,1.151,0.095,0.329,-0.255
6,2017-08-01,2018-01-31,28,57.14,1.461,0.36,0.924,-0.255
6,2017-08-29,2018-02-28,25,60.0,1.442,0.33,0.862,-0.27
6,2017-10-01,2018-03-31,24,66.67,1.535,0.39,0.993,-0.405
6,2017-10-31,2018-04-30,23,65.22,1.823,0.624,1.016,-0.405
6,2017-12-01,2018-05-31,27,51.85,1.075,0.12,0.185,-0.724
6,2017-12-31,2018-06-30,25,52.0,1.09,0.139,0.213,-0.761
6,2018-02-01,2018-07-31,22,40.91,1.042,0.06,0.097,-0.761
6,2018-03-01,2018-08-31,28,46.43,1.105,0.168,0.25,-0.761
6,2018-03-31,2018-09-30,27,40.74,0.972,-0.043,-0.061,-0.761
6,2018-05-01,2018-10-31,22,40.91,0.799,-0.39,-0.868,-0.442
6,2018-05-31,2018-11-30,21,52.38,1.56,0.385,0.937,-0.211
6,2018-07-01,2018-12-31,19,52.63,1.687,0.422,1.042,-0.211
6,2018-08-01,2019-01-31,21,52.38,1.369,0.324,0.679,-0.211
6,2018-08-29,2019-02-28,22,54.55,1.383,0.353,0.715,-0.281
6,2018-10-01,2019-03-31,23,56.52,1.269,0.309,0.561,-0.534
6,2018-10-31,2019-04-30,30,60.0,1.464,0.567,0.988,-0.534
6,2018-12-01,2019-05-31,27,59.26,1.531,0.568,1.027,-0.534
6,2018-12-31,2019-06-30,32,59.38,1.518,0.659,1.109,-0.534
6,2019-02-01,2019-07-31,30,60.0,1.315,0.448,0.885,-0.44
6,2019-03-01,2019-08-31,25,60.0,1.609,0.531,1.139,-0.335
6,2019-03-31,2019-09-30,22,59.09,1.467,0.346,0.9,-0.313
6,2019-05-01,2019-10-31,18,55.56,1.344,0.245,0.628,-0.434
6,2019-05-31,2019-11-30,23,60.87,1.145,0.115,0.312,-0.434
6,2019-07-01,2019-12-31,22,59.09,1.07,0.048,0.155,-0.321
6,2019-08-01,2020-01-31,19,57.89,1.044,0.023,0.088,-0.321
6,2019-08-30,2020-02-29,25,60.0,1.17,0.121,0.358,-0.321
6,2019-10-01,2020-03-31,24,58.33,0.905,-0.086,-0.214,-0.543
6,2019-10-31,2020-04-30,25,60.0,0.977,-0.025,-0.045,-0.543
6,2019-12-01,2020-05-31,23,56.52,1.134,0.156,0.283,-0.543
6,2019-12-31,2020-06-30,23,56.52,1.012,0.017,0.032,-0.543
6,2020-02-01,2020-07-31,25,60.0,1.178,0.275,0.413,-0.543
6,2020-03-01,2020-08-31,30,53.33,0.945,-0.132,-0.153,-0.61
6,2020-03-31,2020-09-30,30,60.0,1.269,0.542,0.666,-0.61
6,2020-05-01,2020-10-31,30,56.67,1.198,0.444,0.505,-0.61
6,2020-05-31,2020-11-30,30,50.0,1.088,0.196,0.232,-0.61
6,2020-07-01,2020-12-31,31,51.61,1.129,0.274,0.328,-0.61
6,2020-08-01,2021-01-31,30,50.0,1.104,0.205,0.259,-0.518
6,2020-08-29,2021-02-28,23,52.17,1.52,0.553,0.883,-0.486
6,2020-10-01,2021-03-31,23,47.83,1.311,0.386,0.586,-0.486
6,2020-10-31,2021-04-30,22,54.55,2.07,0.754,1.563,-0.217
6,2020-12-01,2021-05-31,20,55.0,1.949,0.641,1.375,-0.217
6,2020-12-31,2021-06-30,22,50.0,1.727,0.596,1.226,-0.236
6,2021-02-01,2021-07-31,23,47.83,1.324,0.297,0.646,-0.284
6,2021-03-01,2021-08-31,22,54.55,1.755,0.578,1.216,-0.284
