Datetime,Close,High,Low,Open,Volume
2017-04-03 04:00:00+00:00,124.52413940429688,125.00415925010005,123.82762734787116,124.70297455134953,23700300
2017-04-04 04:00:00+00:00,124.72178649902344,124.74061503047291,124.1194027502933,124.16646689793626,13400000
2017-04-05 04:00:00+00:00,124.21354675292969,125.6347922749166,123.9782403469208,124.90063743712594,32011200
2017-04-06 04:00:00+00:00,124.2794418334961,124.60887659110757,123.95942852505164,124.33592744260264,18832200
2017-04-07 04:00:00+00:00,124.21354675292969,124.59003125775861,123.77116956067592,124.24178237269369,16743100
2017-04-10 04:00:00+00:00,124.26062774658203,124.77830478235092,123.92178590153016,124.33592753014526,15619300
2017-04-11 04:00:00+00:00,123.72409057617188,124.33589577563535,122.82992921291462,124.14763918382411,33778400
2017-04-12 04:00:00+00:00,123.22525024414062,123.80880550333782,123.09347923845215,123.70527011587097,15955200
2017-04-13 04:00:00+00:00,122.7358169555664,123.78057798401265,122.71700278349596,123.05584458628834,23683000
2017-04-17 04:00:00+00:00,123.75233459472656,123.77116312757836,123.03700832794593,123.08407247909416,13325500
2017-04-18 04:00:00+00:00,123.56407928466797,123.92174956121438,123.25347315429255,123.33818000022376,12841100
2017-04-19 04:00:00+00:00,123.7617416381836,124.5147105210714,123.59231358616125,124.10058338026744,17764800
2017-04-20 04:00:00+00:00,124.79712677001953,125.07009029777146,124.07239323653447,124.26063552624532,21977900
2017-04-21 04:00:00+00:00,124.76887512207031,124.95711738760744,124.44886183446079,124.91006759269635,22454900
2017-04-24 04:00:00+00:00,126.27481842041016,126.39716797111112,125.93597666085064,126.15245450774763,22469900
2017-04-25 04:00:00+00:00,127.18785858154297,127.41374360254262,126.57605313841194,126.68901001087903,19384400
2017-04-26 04:00:00+00:00,127.00900268554688,127.54549388503632,126.93370290348494,127.23488766976773,25398500
2017-04-27 04:00:00+00:00,127.77136993408203,127.77136993408203,127.24428591771911,127.31958568605128,16136500
