Date,Adj Close,Close,High,Low,Open,Volume
2023-04-03 00:00:00+00:00,314.5701599121094,320.1499938964844,320.4200134277344,317.4200134277344,318.7699890136719,47126800
2023-04-04 00:00:00+00:00,313.5090026855469,319.07000732421875,321.6300048828125,317.8299865722656,320.6000061035156,45875400
2023-04-05 00:00:00+00:00,310.4139099121094,315.9200134277344,319.05999755859375,314.07000732421875,318.1000061035156,62795700
2023-04-06 00:00:00+00:00,312.5067138671875,318.04998779296875,318.54998779296875,312.82000732421875,314.239990234375,46916500
2023-04-10 00:00:00+00:00,312.32989501953125,317.8699951171875,317.9200134277344,313.25,315.07000732421875,45134700
2023-04-11 00:00:00+00:00,310.3254699707031,315.8299865722656,317.8900146484375,315.30999755859375,317.8299865722656,40113600
2023-04-12 00:00:00+00:00,307.5841064453125,313.0400085449219,318.4200134277344,312.57000732421875,317.82000732421875,62813300
2023-04-13 00:00:00+00:00,313.6072692871094,319.1700134277344,319.6499938964844,313.6300048828125,314.8299865722656,54613800
2023-04-14 00:00:00+00:00,313.0177001953125,318.57000732421875,320.3599853515625,315.6099853515625,317.5899963378906,56278300
2023-04-17 00:00:00+00:00,313.2829895019531,318.8399963378906,319.20001220703125,316.0400085449219,318.1499938964844,43007000
2023-04-18 00:00:00+00:00,313.3026428222656,318.8599853515625,321.4200134277344,317.6400146484375,320.989990234375,46746900
2023-04-19 00:00:00+00:00,313.1552734375,318.7099914550781,319.7900085449219,316.2799987792969,316.4100036621094,38960100
2023-04-20 00:00:00+00:00,310.767578125,316.2799987792969,319.2699890136719,314.9700012207031,315.69000244140625,62462100
2023-04-21 00:00:00+00:00,311.0918273925781,316.6099853515625,317.3999938964844,314.1000061035156,315.9100036621094,59002300
2023-04-24 00:00:00+00:00,310.4433288574219,315.95001220703125,317.739990234375,313.739990234375,316.3800048828125,44043100
2023-04-25 00:00:00+00:00,304.58721923828125,309.989990234375,314.9700012207031,309.8900146484375,314.2900085449219,57121600
2023-04-26 00:00:00+00:00,306.43450927734375,311.8699951171875,314.94000244140625,311.3399963378906,313.44000244140625,55400500
2023-04-27 00:00:00+00:00,314.76666259765625,320.3500061035156,320.8599853515625,315.04998779296875,315.70001220703125,65430400
2023-04-28 00:00:00+00:00,316.9381103515625,322.55999755859375,322.6499938964844,318.9599914550781,320.1099853515625,59712600
2023-05-01 00:00:00+00:00,316.5745544433594,322.19000244140625,323.6300048828125,321.0899963378906,322.0899963378906,41013400
2023-05-02 00:00:00+00:00,313.8135070800781,319.3800048828125,322.45001220703125,317.6099853515625,322.1199951171875,56519400
2023-05-03 00:00:00+00:00,311.7599792480469,317.2900085449219,322.4700012207031,317.17999267578125,319.75,59882100
2023-05-04 00:00:00+00:00,310.65948486328125,316.1700134277344,318.2300109863281,315.1199951171875,317.05999755859375,50224500
2023-05-05 00:00:00+00:00,317.2624206542969,322.8900146484375,323.760009765625,316.2099914550781,318.4700012207031,51806100
2023-05-08 00:00:00+00:00,318.0484313964844,323.69000244140625,324.0400085449219,321.32000732421875,322.4200134277344,36465800
2023-05-09 00:00:00+00:00,316.0342712402344,321.6400146484375,322.8800048828125,321.32000732421875,322.0,31768800
2023-05-10 00:00:00+00:00,319.4731750488281,325.1400146484375,326.010009765625,321.6000061035156,324.1199951171875,60446600
2023-05-11 00:00:00+00:00,320.5147705078125,326.20001220703125,326.75,324.1199951171875,325.70001220703125,44278500
2023-05-12 00:00:00+00:00,319.3651123046875,325.0299987792969,327.1700134277344,322.94000244140625,326.739990234375,48432800
2023-05-15 00:00:00+00:00,321.09442138671875,326.7900085449219,327.0299987792969,323.9599914550781,325.510009765625,33375600
2023-05-16 00:00:00+00:00,321.45794677734375,327.1600036621094,328.8999938964844,326.0199890136719,326.05999755859375,40019200
2023-05-17 00:00:00+00:00,325.34893798828125,331.1199951171875,331.7099914550781,327.0400085449219,328.239990234375,47486100
