open,high,low,close,volume,expected_minutes,observed_minutes,missing_minutes,is_complete,timestamp,session_date,market_open_et,market_close_et,timeframe
125.57,125.81,125.43,125.43,10682030.0,60,60,0,True,2017-01-26 09:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,1h
125.42,125.56,125.34,125.55,5095100.0,60,60,0,True,2017-01-26 10:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,1h
125.54,125.62,125.45,125.54,3631430.0,60,59,1,False,2017-01-26 11:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,1h
125.55,125.64,125.44,125.49,2272500.0,60,58,2,False,2017-01-26 12:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,1h
125.48,125.75,125.46,125.74,2293470.0,60,59,1,False,2017-01-26 13:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,1h
125.73,125.74,125.54,125.58,2317600.0,60,59,1,False,2017-01-26 14:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,1h
125.59,125.64,125.46,125.53,1795270.0,30,30,0,True,2017-01-26 15:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,1h
125.8,125.91,125.39,125.56,12734990.0,60,60,0,True,2017-01-27 09:30:00-05:00,2017-01-27,2017-01-27 09:30:00-05:00,2017-01-27 16:00:00-05:00,1h
125.57,125.77,125.57,125.73,4561170.0,60,60,0,True,2017-01-27 10:30:00-05:00,2017-01-27,2017-01-27 09:30:00-05:00,2017-01-27 16:00:00-05:00,1h
125.74,125.8,125.64,125.77,3653170.0,60,60,0,True,2017-01-27 11:30:00-05:00,2017-01-27,2017-01-27 09:30:00-05:00,2017-01-27 16:00:00-05:00,1h
